94c8 9511 || 0 1 1 || 0 1 1 ||
115a 95e4 || 0 0 1 || 0 0 1 ||
830e 5107 || 0 1 0 || 0 1 0 ||
ad51 513f || 0 1 0 || 0 1 0 ||
c469 58c7 || 0 1 0 || 0 1 0 ||
6d9f bb71 || 0 0 1 || 0 0 1 ||
c323 2c1c || 0 1 0 || 0 1 0 ||
6e3a 0bff || 0 0 0 || 0 0 0 ||
48b2 fa11 || 0 0 1 || 0 0 1 ||
cd67 f5c2 || 0 1 1 || 0 1 1 ||
febe a111 || 0 0 0 || 0 0 0 ||
2cb5 c57f || 0 0 1 || 0 0 1 ||
69e3 d1bb || 0 0 1 || 0 0 1 ||
a0c2 007b || 0 1 0 || 0 1 0 ||
1d2d 0cb4 || 0 0 0 || 0 0 0 ||
7911 a2e7 || 0 0 1 || 0 0 1 ||
b865 aab0 || 0 0 0 || 0 0 0 ||
b1d3 583e || 0 1 0 || 0 1 0 ||
4bba 0682 || 0 0 0 || 0 0 0 ||
242a 335d || 0 1 1 || 0 1 1 ||
07e6 36ca || 0 1 1 || 0 1 1 ||
22bd 7f5f || 0 1 1 || 0 1 1 ||
6514 81f3 || 0 0 1 || 0 0 1 ||
27e2 841e || 0 0 1 || 0 0 1 ||
446d 93a8 || 0 0 1 || 0 0 1 ||
274c fd4a || 0 0 1 || 0 0 1 ||
dc01 1e02 || 0 1 0 || 0 1 0 ||
87a4 869e || 0 0 0 || 0 0 0 ||
2130 88e5 || 0 0 1 || 0 0 1 ||
d2cc 72e9 || 0 1 0 || 0 1 0 ||
f781 8f81 || 0 0 0 || 0 0 0 ||
1719 8bc4 || 0 0 1 || 0 0 1 ||
4c9c b7d7 || 0 0 1 || 0 0 1 ||
49c9 e05b || 0 0 1 || 0 0 1 ||
ea97 06ca || 0 1 0 || 0 1 0 ||
45ba f6ef || 0 0 1 || 0 0 1 ||
973a 6338 || 0 1 0 || 0 1 0 ||
288a 3e26 || 0 1 1 || 0 1 1 ||
2d05 4b45 || 0 1 1 || 0 1 1 ||
3b9e ae52 || 0 0 1 || 0 0 1 ||
b587 5ffa || 0 1 0 || 0 1 0 ||
2911 fb34 || 0 0 1 || 0 0 1 ||
7f3d e856 || 0 0 1 || 0 0 1 ||
f5db 8838 || 0 0 0 || 0 0 0 ||
870b 00e2 || 0 1 0 || 0 1 0 ||
ed73 4ffe || 0 1 0 || 0 1 0 ||
d687 3037 || 0 1 0 || 0 1 0 ||
b0f1 c8b7 || 0 1 1 || 0 1 1 ||
b77e 8b25 || 0 0 0 || 0 0 0 ||
64ac bd88 || 0 0 1 || 0 0 1 ||
b86a 23f1 || 0 1 0 || 0 1 0 ||
ba51 aab1 || 0 0 0 || 0 0 0 ||
3cbf 9aa2 || 0 0 1 || 0 0 1 ||
6fc8 40b7 || 0 0 0 || 0 0 0 ||
ea05 144c || 0 1 0 || 0 1 0 ||
f6a5 f48e || 0 0 0 || 0 0 0 ||
18ce 2c82 || 0 1 1 || 0 1 1 ||
c39f e8b7 || 0 1 1 || 0 1 1 ||
cbd9 9d1c || 0 0 0 || 0 0 0 ||
0179 fb68 || 0 0 1 || 0 0 1 ||
8597 1535 || 0 1 0 || 0 1 0 ||
1d62 abc2 || 0 0 1 || 0 0 1 ||
5fff e38f || 0 0 1 || 0 0 1 ||
8a78 0f3f || 0 1 0 || 0 1 0 ||
5404 dec2 || 0 0 1 || 0 0 1 ||
6def 1cf3 || 0 0 0 || 0 0 0 ||
d67c ec6f || 0 1 1 || 0 1 1 ||
6ead 6d6f || 0 0 0 || 0 0 0 ||
3dd6 1414 || 0 0 0 || 0 0 0 ||
3024 31f0 || 0 1 1 || 0 1 1 ||
ec14 b587 || 0 0 0 || 0 0 0 ||
f598 292c || 0 1 0 || 0 1 0 ||
3075 516a || 0 1 1 || 0 1 1 ||
9b5c 5cf3 || 0 1 0 || 0 1 0 ||
a813 8bc0 || 0 0 0 || 0 0 0 ||
e9a4 871d || 0 0 0 || 0 0 0 ||
6eb7 4d34 || 0 0 0 || 0 0 0 ||
9021 2ecc || 0 1 0 || 0 1 0 ||
5856 96b3 || 0 0 1 || 0 0 1 ||
3b0a fdf6 || 0 0 1 || 0 0 1 ||
34c3 9eb5 || 0 0 1 || 0 0 1 ||
e30c 3045 || 0 1 0 || 0 1 0 ||
dbf6 4212 || 0 1 0 || 0 1 0 ||
0f06 10a3 || 0 1 1 || 0 1 1 ||
3265 af54 || 0 0 1 || 0 0 1 ||
84dd 880a || 0 1 1 || 0 1 1 ||
5d97 8439 || 0 0 1 || 0 0 1 ||
4907 6403 || 0 1 1 || 0 1 1 ||
a3e4 9087 || 0 0 0 || 0 0 0 ||
0f98 8dde || 0 0 1 || 0 0 1 ||
5288 5f9c || 0 1 1 || 0 1 1 ||
0024 207c || 0 1 1 || 0 1 1 ||
1df6 7f1f || 0 1 1 || 0 1 1 ||
ad31 6358 || 0 1 0 || 0 1 0 ||
a7de 320d || 0 1 0 || 0 1 0 ||
2d50 e416 || 0 0 1 || 0 0 1 ||
86f7 d7c9 || 0 1 1 || 0 1 1 ||
2c9e 45d3 || 0 1 1 || 0 1 1 ||
055a 5d37 || 0 1 1 || 0 1 1 ||
1b9d 86c2 || 0 0 1 || 0 0 1 ||
99f1 3802 || 0 1 0 || 0 1 0 ||
47a0 dd5b || 0 0 1 || 0 0 1 ||
b888 5039 || 0 1 0 || 0 1 0 ||
b0f6 34d9 || 0 1 0 || 0 1 0 ||
0101 0f35 || 0 1 1 || 0 1 1 ||
02e6 9b39 || 0 0 1 || 0 0 1 ||
8a1a e12c || 0 1 1 || 0 1 1 ||
517e a577 || 0 0 1 || 0 0 1 ||
772d f883 || 0 0 1 || 0 0 1 ||
1e29 f04b || 0 0 1 || 0 0 1 ||
2c50 346b || 0 1 1 || 0 1 1 ||
1090 18e0 || 0 1 1 || 0 1 1 ||
d8f3 7051 || 0 1 0 || 0 1 0 ||
5152 17a7 || 0 0 0 || 0 0 0 ||
eb5e e3c6 || 0 0 0 || 0 0 0 ||
dec7 e6ea || 0 1 1 || 0 1 1 ||
5a56 f5da || 0 0 1 || 0 0 1 ||
e11a 734f || 0 1 0 || 0 1 0 ||
232d 671f || 0 1 1 || 0 1 1 ||
06a6 ccd0 || 0 0 1 || 0 0 1 ||
c5db 01bb || 0 1 0 || 0 1 0 ||
2e13 d393 || 0 0 1 || 0 0 1 ||
fb70 6187 || 0 1 0 || 0 1 0 ||
443f 6fa0 || 0 1 1 || 0 1 1 ||
b1f4 48d1 || 0 1 0 || 0 1 0 ||
a4be 2b7a || 0 1 0 || 0 1 0 ||
db2c 95c6 || 0 0 0 || 0 0 0 ||
25b6 0646 || 0 0 0 || 0 0 0 ||
8e48 772e || 0 1 0 || 0 1 0 ||
594b d082 || 0 0 1 || 0 0 1 ||
172a 6335 || 0 1 1 || 0 1 1 ||
4b45 ff1c || 0 0 1 || 0 0 1 ||
846b 3dcb || 0 1 0 || 0 1 0 ||
9bd0 5e6e || 0 1 0 || 0 1 0 ||
d2a4 7fce || 0 1 0 || 0 1 0 ||
bd0c ff29 || 0 1 1 || 0 1 1 ||
66c7 0c16 || 0 0 0 || 0 0 0 ||
6492 2346 || 0 0 0 || 0 0 0 ||
b504 45ab || 0 1 0 || 0 1 0 ||
9b43 1a7a || 0 1 0 || 0 1 0 ||
76a9 93d1 || 0 0 1 || 0 0 1 ||
f41e d86c || 0 0 0 || 0 0 0 ||
a2e6 4a67 || 0 1 0 || 0 1 0 ||
7185 1b4f || 0 0 0 || 0 0 0 ||
d289 b8c8 || 0 0 0 || 0 0 0 ||
9047 dbfe || 0 1 1 || 0 1 1 ||
39f8 91f7 || 0 0 1 || 0 0 1 ||
