a836f4911b9790a9 5abc70a24a81959b || 0 1 0 || 0 1 0 ||
14d5a4245ea4cfa5 d067bbcf4c518a96 || 0 0 1 || 0 0 1 ||
10dbf8e9e97a49f0 e6ad9971ec5f89a6 || 0 0 1 || 0 0 1 ||
d6f75faa01c732f9 546b60197815950a || 0 1 0 || 0 1 0 ||
688cb2c4dda3c875 093b4f59857fefe8 || 0 0 0 || 0 0 0 ||
d8352bc60aacdd2a 616c0d85890f1b81 || 0 1 0 || 0 1 0 ||
4d9301fbe4e844e8 5a0d3f67f9f91591 || 0 1 1 || 0 1 1 ||
155f176e75ec6aee 54f6f56216ba72be || 0 1 1 || 0 1 1 ||
b71d6c86b10d9bed 9bac65df6894639c || 0 0 0 || 0 0 0 ||
a5ae93ccd0375268 6b2e27461e918183 || 0 1 0 || 0 1 0 ||
e1bb7609ddc1fcd8 7def73d9165b5623 || 0 1 0 || 0 1 0 ||
fe7cf604fa46d79c 5e7969a727a9544a || 0 1 0 || 0 1 0 ||
d8b38dbcd5c96250 c23cd554eb9792cf || 0 0 0 || 0 0 0 ||
64d675b4ce801348 f837b14f4fa00f69 || 0 0 1 || 0 0 1 ||
f6250e8a73e370b7 88319be2fde09f59 || 0 0 0 || 0 0 0 ||
3f8a017b19271f8e 902b89870d9ddcfd || 0 0 1 || 0 0 1 ||
98cc5d4bc2311afa f0c47c2c494d974b || 0 1 1 || 0 1 1 ||
ec623e67993ec0ab e6a37a723b07773a || 0 0 0 || 0 0 0 ||
aa00c3a90c393a65 84036a933ec1b113 || 0 0 0 || 0 0 0 ||
8b141741b1720be7 9652e11ab71833c2 || 0 1 1 || 0 1 1 ||
db8a3c9fb1a96924 34ffb8a9a870d0e4 || 0 1 0 || 0 1 0 ||
eb6aea2475b8a9d1 71b6d77ecf434bc4 || 0 1 0 || 0 1 0 ||
d2383829987512a9 b6e2ed78ff0131df || 0 0 0 || 0 0 0 ||
2ce3fcf7974fec88 0ab8e5ac6d5ed5ec || 0 0 0 || 0 0 0 ||
2be681852b6b2e63 4fa1f06711d5a00c || 0 1 1 || 0 1 1 ||
93dd02fa9d24b6e0 ff5eb64a7440333d || 0 1 1 || 0 1 1 ||
dd50423721887a63 e7ab8b59ff558008 || 0 1 1 || 0 1 1 ||
b712a4da0a798610 c25c3e18663d7382 || 0 1 1 || 0 1 1 ||
9aa7f35c91ff0587 10ea4c489660f0d2 || 0 1 0 || 0 1 0 ||
e8acf0181e255156 33bc2ae8614e8e88 || 0 1 0 || 0 1 0 ||
a3624e78f7775850 9139e0e2d345d21e || 0 0 0 || 0 0 0 ||
3914feed9f610fa8 0428a041243070c2 || 0 0 0 || 0 0 0 ||
75f5264e6609d03c c090f5e7ad39be5b || 0 0 1 || 0 0 1 ||
c1619114ebf0590c 9f9d3943af5258fc || 0 0 0 || 0 0 0 ||
c960c5abc9a8ae8a fcd53dc5a2168116 || 0 1 1 || 0 1 1 ||
ba65ddfd0935dab5 77128552276cd4b7 || 0 1 0 || 0 1 0 ||
ce953ffd12e4151c 6fb98386b3191924 || 0 1 0 || 0 1 0 ||
f92ad3180293174c 4a1742cba934d034 || 0 1 0 || 0 1 0 ||
32bf31d9497b9526 52ffe5e60ca5212e || 0 1 1 || 0 1 1 ||
b7dd4b25718ede71 cc9a77b796925d80 || 0 1 1 || 0 1 1 ||
e53eac1c86a3e9b0 7b77fbe547ace43c || 0 1 0 || 0 1 0 ||
9aadb59dbdce5642 3c805c9ddef8a7ed || 0 1 0 || 0 1 0 ||
3515c7bfb66eb82c 57b84e0494bc7ddf || 0 1 1 || 0 1 1 ||
e97f62e15766c00d 17132a8a5a910564 || 0 1 0 || 0 1 0 ||
b1e625f3ed4d7d71 92471c6eac506b65 || 0 0 0 || 0 0 0 ||
0eab39cc77d490fb 791b0e78db2f1691 || 0 1 1 || 0 1 1 ||
0f4ff6543b774090 a699f0840ac8d15e || 0 0 1 || 0 0 1 ||
6f08e14f2daeae63 b978f0e61eddd305 || 0 0 1 || 0 0 1 ||
45eeffe61d22b58d 21546cdecdf6c19f || 0 0 0 || 0 0 0 ||
dc3e8e09f0b8fd6d ea2181b4bf6d39dc || 0 1 1 || 0 1 1 ||
da01d4decfe30e88 1b19c77be60ab04e || 0 1 0 || 0 1 0 ||
cddef3de6917c199 ce03d5149addc7d1 || 0 1 1 || 0 1 1 ||
99b7deaff72019f9 f0c54e511ffd6509 || 0 1 1 || 0 1 1 ||
e12588a1bb7bc09c 8ebcfb0971460562 || 0 0 0 || 0 0 0 ||
8e060e4a6b0505e5 ffea60ea13a8c836 || 0 1 1 || 0 1 1 ||
cdd65f6ff7b41f4c 64f950bbaac09961 || 0 1 0 || 0 1 0 ||
4703b265d7fe8733 3210cd03808d6d06 || 0 0 0 || 0 0 0 ||
9003c938e0293ba4 8384f53f96f6efe1 || 0 0 0 || 0 0 0 ||
3b62252f99c1bbe2 27b0e88a8379a1a4 || 0 0 0 || 0 0 0 ||
3eafbf98d46ead29 2c7990e92607dd04 || 0 0 0 || 0 0 0 ||
4d20a35a86108d9a d1a3fec64b8b92b2 || 0 0 1 || 0 0 1 ||
361114f1accf36e3 856485a46c808d8c || 0 0 1 || 0 0 1 ||
0c048a279e774bb5 fc3a4e3f6e518898 || 0 0 1 || 0 0 1 ||
39aa8ea46f2f637f b66c7a9d6ba65b13 || 0 0 1 || 0 0 1 ||
f92b691b021cc2ad d0a043a8c0fea443 || 0 0 0 || 0 0 0 ||
f8eb959df0c30a24 e07a37033d9b19c2 || 0 0 0 || 0 0 0 ||
135f4d184cf7dea9 89beab708ff5c2c1 || 0 0 1 || 0 0 1 ||
626413f2f116d576 bf857fa94f247252 || 0 0 1 || 0 0 1 ||
03bed88975a5684f f180588019684760 || 0 0 1 || 0 0 1 ||
d0dd0a22c9a3259c 924d2352dcadb173 || 0 0 0 || 0 0 0 ||
815545774d521b7d cc4f22b5f80da42d || 0 1 1 || 0 1 1 ||
908c777232bcdd7b 928d6c97a7c4844b || 0 1 1 || 0 1 1 ||
b550c57fd08bc600 ca5c1244c7a5d399 || 0 1 1 || 0 1 1 ||
0ba705209d990915 229d6e89d6599ee4 || 0 1 1 || 0 1 1 ||
0a1ca5125c0432ba 780d5d4875fe898f || 0 1 1 || 0 1 1 ||
b41b47a8d57a0aab 813dabdd5f9d83ea || 0 0 0 || 0 0 0 ||
7e4d3fc8b5d288bd 0133920c85fbff22 || 0 0 0 || 0 0 0 ||
1e1f73b9fcd718ae a93b9286966de1e3 || 0 0 1 || 0 0 1 ||
c3e92072947f5b2d 5f38594a021a9b4c || 0 1 0 || 0 1 0 ||
8c9cf6d64df14aa5 a67518292948827e || 0 1 1 || 0 1 1 ||
5e2766da67c03f12 5953efc9e4651d09 || 0 0 0 || 0 0 0 ||
ea35543eed046986 18eb355f763e8f73 || 0 1 0 || 0 1 0 ||
4bf1d5e80952b816 659f4019db3e4da6 || 0 1 1 || 0 1 1 ||
7e209718aca2c1da cd127b98787ebbbd || 0 0 1 || 0 0 1 ||
2e957b371b5919ee 5de6105f9a612da4 || 0 1 1 || 0 1 1 ||
fc9baa24371c566c 8cdb70d1fdb041a3 || 0 0 0 || 0 0 0 ||
90f612d683440d24 9b253688e8ad9d29 || 0 1 1 || 0 1 1 ||
ca63054a41cd9995 149cada5a4d25578 || 0 1 0 || 0 1 0 ||
7fef349043cafad2 a84870fa62018c46 || 0 0 1 || 0 0 1 ||
9c135246f0dfca32 3531bbc24c396195 || 0 1 0 || 0 1 0 ||
cf57696334fd5ff6 1f6ac17b6ce3820e || 0 1 0 || 0 1 0 ||
356597f106bd36e6 eac89d1e1076ab87 || 0 0 1 || 0 0 1 ||
cfb5c6f7d87b710a 0f451a991b72a7b3 || 0 1 0 || 0 1 0 ||
20ae4a3eedf70704 b6866920887f7c75 || 0 0 1 || 0 0 1 ||
7b029f8bbe8dfbd8 7bbf057afe7f6f77 || 0 1 1 || 0 1 1 ||
87e1031d915e6769 ec4548a584de5f66 || 0 1 1 || 0 1 1 ||
a0d485575268943a 0126362d293d1ff3 || 0 1 0 || 0 1 0 ||
9fb55b8133ccd965 8c43c206fa428aeb || 0 0 0 || 0 0 0 ||
a08f79413992666a 98df00bd48ce92a7 || 0 0 0 || 0 0 0 ||
160ab01c98875fe3 e5abc2ed2d259a8a || 0 0 1 || 0 0 1 ||
48a9749d89bc0349 f1463eb829a47d22 || 0 0 1 || 0 0 1 ||
e0cbc412dd905f48 ff57033a04f725de || 0 1 1 || 0 1 1 ||
4d66f6a3a62894f9 d5c35ceecbb1b723 || 0 0 1 || 0 0 1 ||
e2baee47fddb369b e3e369723b45f99d || 0 1 1 || 0 1 1 ||
8bebdc03e2f63197 fc47d19ab028d748 || 0 1 1 || 0 1 1 ||
478cfde4f24c42dd 3255391bb02151fd || 0 0 0 || 0 0 0 ||
18243bb7ce98f742 f1ccea787e7b3691 || 0 0 1 || 0 0 1 ||
3d31cbf884c18e80 5725819c3f4a863d || 0 1 1 || 0 1 1 ||
f53226e0a312bd5a 1bb76450b47f17b6 || 0 1 0 || 0 1 0 ||
