81fdc249b649f771f9cce9e62d082d1a a239a2ac588cd28330c113555b7f9af1 || 0 1 1 || 0 1 1 ||
ceba396af402f8a3b8b75ab497f323c2 9c7209765efbfbbdc3298ae14360ae17 || 0 0 0 || 0 0 0 ||
387afb3cba5556597aeaea752d7194b8 d81a593aa87ddc88722eb80195943cc2 || 0 0 1 || 0 0 1 ||
4d660e469b3f1b84ebb64936eb6d204e 9bbf7d81dac70141f99bbe05a61486ea || 0 0 1 || 0 0 1 ||
5b3c281313a0604f03be32587782d119 a8853c27a96782d7cc3cc01ede9572d4 || 0 0 1 || 0 0 1 ||
253dbb568941eab729abdd7017f3a1a5 ede1a8ddd2779e3808c963fb61360c6d || 0 0 1 || 0 0 1 ||
81343662bd4e027998618e4f810daf94 800b7e83b2d97058f21699f80141930c || 0 0 0 || 0 0 0 ||
4a04204795e5ac8058bc89b2f2371130 db39689268eff90af42efa331a8fa6c3 || 0 0 1 || 0 0 1 ||
0dd102e6c5d9f5b0520b3b94cf19e71f e3e03122104a4fdaf8ff2df7a3d67e4e || 0 0 1 || 0 0 1 ||
af4810a1d9ea8e6da7007808639f8612 def8404cf32e69fc11636f367a6f4355 || 0 1 1 || 0 1 1 ||
60d12f2ab26f33d5c45034afebc74215 7248c4ba1c8716023d5e1190e46e6a2f || 0 1 1 || 0 1 1 ||
9253b3f27b7c9b42ad28a43b32234ed6 81968705cd696b2a266fc8d3e9035d02 || 0 0 0 || 0 0 0 ||
777de638dc880a17465a4e442b7fdefa 572f0b73c1f443cc21abd46308fc5456 || 0 0 0 || 0 0 0 ||
d046ad4bd94ad2a9e7d25b89e33a3bb7 5896a924f5f386fe9d40ec3c774e90bf || 0 1 0 || 0 1 0 ||
d5e906f9c6787183924a97698a6c2f84 9db206376d7c1159a407be304cab3047 || 0 0 0 || 0 0 0 ||
03a0ad58df5698ec7d7e23db8f87bcd0 4c1cbd2b356a8752ed3166a847b8fb08 || 0 1 1 || 0 1 1 ||
195059f8d262f1c495f77146bdb29471 31c6031fe805bef8fdca46bcfa89fbdc || 0 1 1 || 0 1 1 ||
fb058e82e50f78f2d134258712c532ca b7cf81f380a62563de4b138c134912dc || 0 0 0 || 0 0 0 ||
5a3bfce04d11506ee18b4a78940d3d9a c5900fd50160d9fc4e5504d402d7987c || 0 0 1 || 0 0 1 ||
657592b92ccdcb7ceed2afc4f87a85d1 471f1c7c350a24e573eb50d36e71fea5 || 0 0 0 || 0 0 0 ||
f8a3432525d628676291a53f032cd35b 6e06f8cc48af641f299b3722dcfdccb0 || 0 1 0 || 0 1 0 ||
fe7479419c5d8c396f77ced1b6f993ab a118231ec8abee6169dd3e5c27e0b812 || 0 0 0 || 0 0 0 ||
5cf32d19be8d20372511f73245d836a2 9f50a817635d874a547e21d126df1829 || 0 0 1 || 0 0 1 ||
91f280d8647fe491c2c1c8ae69057a87 e4f7be7957cd1752919857c4a39cd0c7 || 0 1 1 || 0 1 1 ||
ab9fc4f591e0c64f5d92389b22fe8b5b b67dbc4c0fda6bc5f610147e0f55c26e || 0 1 1 || 0 1 1 ||
c04e5e682a46a49fed39ed8dc46d378e 7a8ae860389b6f705376493bb63eaf7c || 0 1 0 || 0 1 0 ||
70679cffe68e3057a50a0d3a897de190 d17da762da3ebd6da682c22225f8d510 || 0 0 1 || 0 0 1 ||
31da4b371c1fe7b0beae446284f61a79 8bf48d7d9ca1ae0b0900e16fd29ba5b4 || 0 0 1 || 0 0 1 ||
2a48299d1b632a91fa04a74a9249520a 11ccf177fee2d2ca021f26eec7a1e8d5 || 0 0 0 || 0 0 0 ||
b8c27b6bc4455573847e45d52674af99 384ddb0b45589044bfd879194ccfa586 || 0 1 0 || 0 1 0 ||
5a497c5af99454fdaf86398b2f99bddc 4f12a7e101c622cdd8e0ef78bef0b072 || 0 0 0 || 0 0 0 ||
f7b72c602f21f059e2d1543564ee80f8 b6a1736f1a9189f7ae20003fafc5887a || 0 0 0 || 0 0 0 ||
81076ac439e383a7b1837916913a64e1 18d20b2958c15331bf7446c1f3089f5f || 0 1 0 || 0 1 0 ||
1bcea317365a0def8ac7fd0a8ae7bb72 74543a8404381d36c58dde06f364bc63 || 0 1 1 || 0 1 1 ||
55b9e74a4a20add1c0e639d6cf66020c 8d2c8d1ef9a55035658598634d5e168b || 0 0 1 || 0 0 1 ||
b681eae12104279d29ad255dcd79893a dc221ca0ef1cd0c9d5f03656401644fb || 0 1 1 || 0 1 1 ||
514438217677885bb5f28a287c218201 0deb7d63ae187b1039b8e58cde956d35 || 0 0 0 || 0 0 0 ||
8dd6d0829ab50d4858755ead044476a1 bac32f5c2540c95698212aad5c38cf38 || 0 1 1 || 0 1 1 ||
94d993c60d14ac0a0759ed7dad3d8790 d0067b9e262b55a1ae00e9b5beee41b7 || 0 1 1 || 0 1 1 ||
0945b355c9cd76bc061fc3fb450fa11b a5a551106db11154af8ee2cf690a5aa5 || 0 0 1 || 0 0 1 ||
93449fa4a83a25f14dc03d75f590ff05 d2398f4465a2b1f1fa2d651613ec4934 || 0 1 1 || 0 1 1 ||
08dabb7228de184fc3fb4586f35922b6 311b08e6d3eb06e256d69a6e616012a8 || 0 1 1 || 0 1 1 ||
3b38827d2efc1cd5c77a21cc8259b43b 391c558dd66f480873a173ad18150f07 || 0 0 0 || 0 0 0 ||
5f94c030ae8d1261ee167eb668c96381 3ea28a94e90de25113b05cef504fac31 || 0 0 0 || 0 0 0 ||
9fbccd2a4710980cad68c3dcd1decdad 1e6c5719a4700fef66fac233606a35c5 || 0 1 0 || 0 1 0 ||
