c859cba7 a700a759 || 0 0 0 || 0 0 0 ||
37af4c97 dff59ce5 || 0 0 1 || 0 0 1 ||
8c0ef4e3 fe5c99b1 || 0 1 1 || 0 1 1 ||
90a89a27 a30e422b || 0 1 1 || 0 1 1 ||
198e01d0 31782e46 || 0 1 1 || 0 1 1 ||
f9075b33 09191825 || 0 1 0 || 0 1 0 ||
563661ca ce43741b || 0 0 1 || 0 0 1 ||
245cc3a5 42bb706f || 0 1 1 || 0 1 1 ||
2d08bab2 b536975d || 0 0 1 || 0 0 1 ||
9f193d2c 6ebdcd24 || 0 1 0 || 0 1 0 ||
e9d4bf43 ae18f61d || 0 0 0 || 0 0 0 ||
7be61e68 285134a4 || 0 0 0 || 0 0 0 ||
423a54b6 226ea973 || 0 0 0 || 0 0 0 ||
ab795c1f 28187b56 || 0 1 0 || 0 1 0 ||
7879c65b 1a2dd8df || 0 0 0 || 0 0 0 ||
f78e780e 660db877 || 0 1 0 || 0 1 0 ||
819c8d0c 6fa53d8f || 0 1 0 || 0 1 0 ||
f534e235 373ace1b || 0 1 0 || 0 1 0 ||
7a16a6c9 70793a2b || 0 0 0 || 0 0 0 ||
52122e60 e860554d || 0 0 1 || 0 0 1 ||
be1675fe ac4bc3e4 || 0 0 0 || 0 0 0 ||
cd6e4d08 0ef8cadb || 0 1 0 || 0 1 0 ||
88a5a59e 69e1a935 || 0 1 0 || 0 1 0 ||
43a3e9ea ba1f0e16 || 0 0 1 || 0 0 1 ||
7f03f4bd 214a882f || 0 0 0 || 0 0 0 ||
da26df11 17d00b99 || 0 1 0 || 0 1 0 ||
ba555cb0 1bd491a8 || 0 1 0 || 0 1 0 ||
b07e6061 ad65d821 || 0 0 0 || 0 0 0 ||
3c9dbf3f b81e960e || 0 0 1 || 0 0 1 ||
ac57749e f2ac7d5c || 0 1 1 || 0 1 1 ||
05b8bd7d a9267fc2 || 0 0 1 || 0 0 1 ||
b43c2758 90ba0c56 || 0 0 0 || 0 0 0 ||
fff1faa8 db7be675 || 0 0 0 || 0 0 0 ||
167f36ce c42a68eb || 0 0 1 || 0 0 1 ||
